Nutrient no,Group no,req_amt,upper_lim (t/f)
301,1,500,f
417,1,150,f
303,1,7,t
304,1,65,f
406,1,5,f
305,1,380,f
306,1,3000,f
405,1,0.4,f
404,1,0.4,f
320,1,210,f
415,1,0.4,f
401,1,13,f
328,1,10,f
323,1,6,t
430,1,30,f
309,1,2.5,f
301,2,500,f
417,2,150,f
303,2,7,t
304,2,65,f
406,2,5,f
305,2,380,f
306,2,3000,f
405,2,0.4,f
404,2,0.4,f
320,2,210,f
415,2,0.4,f
401,2,13,f
328,2,10,f
323,2,6,t
430,2,30,f
309,2,2.5,f
301,3,800,f
417,3,200,f
303,3,10,t
304,3,110,f
406,3,6,f
305,3,405,f
306,3,3800,f
405,3,0.5,f
404,3,0.5,f
320,3,275,f
415,3,0.5,f
401,3,22,f
328,3,10,f
323,3,7,t
430,3,55,f
309,3,4,f
301,4,800,f
417,4,200,f
303,4,10,t
304,4,110,f
406,4,6,f
305,4,405,f
306,4,3800,f
405,4,0.5,f
404,4,0.5,f
320,4,275,f
415,4,0.5,f
401,4,22,f
328,4,10,f
323,4,7,t
430,4,55,f
309,4,4,f
301,5,1300,f
417,5,300,f
303,5,8,t
304,5,200,f
406,5,9,f
305,5,1055,f
306,5,4500,f
405,5,0.8,f
404,5,0.7,f
320,5,445,f
415,5,0.8,f
401,5,39,f
328,5,10,f
323,5,11,t
430,5,60,f
309,5,7,f
301,6,1300,f
417,6,300,f
303,6,8,t
304,6,200,f
406,6,9,f
305,6,1055,f
306,6,4500,f
405,6,0.8,f
404,6,0.7,f
320,6,445,f
415,6,0.8,f
401,6,39,f
328,6,10,f
323,6,11,t
430,6,60,f
309,6,7,f
301,7,1300,f
417,7,400,f
303,7,15,t
304,7,300,f
406,7,11,f
305,7,1055,f
306,7,4700,f
405,7,0.9,f
404,7,0.9,f
320,7,485,f
415,7,1.2,f
401,7,56,f
328,7,10,f
323,7,15,t
430,7,75,f
309,7,7.3,f
301,8,1300,f
417,8,400,f
303,8,11,t
304,8,340,f
406,8,12,f
305,8,1055,f
306,8,4700,f
405,8,1.1,f
404,8,1,f
320,8,630,f
415,8,1.1,f
401,8,63,f
328,8,10,f
323,8,15,t
430,8,75,f
309,8,8.5,f
301,9,1000,f
417,9,400,f
303,9,18,t
304,9,310,f
406,9,11,f
305,9,580,f
306,9,4700,f
405,9,0.9,f
404,9,0.9,f
320,9,500,f
415,9,1.1,f
401,9,60,f
328,9,10,f
323,9,15,t
430,9,90,f
309,9,6.8,f
301,10,1000,f
417,10,400,f
303,10,8,t
304,10,330,f
406,10,12,f
305,10,580,f
306,10,4700,f
405,10,1.1,f
404,10,1,f
320,10,625,f
415,10,1.1,f
401,10,75,f
328,10,10,f
323,10,15,t
430,10,120,f
309,10,9.4,f
301,11,1000,f
417,11,400,f
303,11,18,t
304,11,265,f
406,11,11,f
305,11,580,f
306,11,4700,f
405,11,0.9,f
404,11,0.9,f
320,11,500,f
415,11,1.1,f
401,11,60,f
328,11,10,f
323,11,15,t
430,11,90,f
309,11,6.8,f
301,12,1000,f
417,12,400,f
303,12,8,t
304,12,350,f
406,12,12,f
305,12,580,f
306,12,4700,f
405,12,1.1,f
404,12,1,f
320,12,625,f
415,12,1.1,f
401,12,75,f
328,12,10,f
323,12,15,t
430,12,120,f
309,12,9.4,f
301,13,1200,f
417,13,400,f
303,13,8,t
304,13,265,f
406,13,11,f
305,13,580,f
306,13,4700,f
405,13,0.9,f
404,13,0.9,f
320,13,500,f
415,13,1.3,f
401,13,60,f
328,13,10,f
323,13,15,t
430,13,90,f
309,13,6.8,f
301,14,1200,f
417,14,400,f
303,14,8,t
304,14,350,f
406,14,12,f
305,14,580,f
306,14,4700,f
405,14,1.1,f
404,14,1,f
320,14,625,f
415,14,1.4,f
401,14,75,f
328,14,10,f
323,14,15,t
430,14,120,f
309,14,9.4,f
301,15,1200,f
417,15,400,f
303,15,8,t
304,15,265,f
406,15,11,f
305,15,580,f
306,15,4700,f
405,15,0.9,f
404,15,0.9,f
320,15,500,f
415,15,1.3,f
401,15,60,f
328,15,10,f
323,15,15,t
430,15,90,f
309,15,6.8,f
301,16,1200,f
417,16,400,f
303,16,8,t
304,16,350,f
406,16,12,f
305,16,580,f
306,16,4700,f
405,16,1.1,f
404,16,1,f
320,16,625,f
415,16,1.4,f
401,16,75,f
328,16,10,f
323,16,15,t
430,16,120,f
309,16,9.4,f